emp_no,first_name,last_name,to_date
10001,Georgi,Facello,1/1/99
10004,Chirstian,Koblick,1/1/99
10009,Sumant,Peac,1/1/99
10018,Kazuhide,Peha,1/1/99
10035,Alain,Chappelet,1/1/99
10053,Sanjiv,Zschoche,1/1/99
10058,Berhard,McFarlin,1/1/99
10066,Kwee,Schusler,1/1/99
10067,Claudi,Stavenow,1/1/99
10070,Reuven,Garigliano,1/1/99
10072,Hironoby,Sidou,1/1/99
10076,Erez,Ritzmann,1/1/99
10088,Jungsoon,Syrzycki,1/1/99
10100,Hironobu,Haraldson,1/1/99
10103,Akemi,Birch,1/1/99
10126,Kayoko,Valtorta,1/1/99
10129,Armond,Peir,1/1/99
10130,Nishit,Casperson,1/1/99
10134,Diederik,Siprelle,1/1/99
10138,Perry,Shimshoni,1/1/99
10150,Zhenbing,Perng,1/1/99
10153,Heekeun,Majewski,1/1/99
10157,Nigel,Aloisi,1/1/99
10198,Pranav,Furedi,1/1/99
10215,Xiaobin,Duclos,1/1/99
10224,Leon,Trogemann,1/1/99
10233,Lein,Vendrig,1/1/99
10258,Basil,Ishibashi,1/1/99
10272,Yishai,Cannane,1/1/99
10282,Hercules,Benzmuller,1/1/99
10283,Kauko,Birjandi,1/1/99
10326,Masali,Czap,1/1/99
10340,Djelloul,Laventhal,1/1/99
10347,Pradeep,Kaminger,1/1/99
10355,Satyanarayana,Cochrane,1/1/99
10356,Vasilis,Standera,1/1/99
10364,Nakhoon,Dengi,1/1/99
10372,Anneli,Frijda,1/1/99
10387,Parto,Wrigley,1/1/99
10396,Sibyl,Rahier,1/1/99
10402,Volkmar,Ebeling,1/1/99
10404,Prodip,Rosti,1/1/99
10426,Arunas,Luce,1/1/99
10429,Martien,Improta,1/1/99
10432,Hisao,Tiemann,1/1/99
10451,Bodh,Ranta,1/1/99
10453,Tsvetan,Matzel,1/1/99
10463,Ung,Zaiane,1/1/99
10486,Amstein,Kossowski,1/1/99
10494,Yakkov,Servieres,1/1/99
10504,Xiong,Varker,1/1/99
10512,Udi,Gihr,1/1/99
10522,Marke,Cesareni,1/1/99
10548,Ramalingam,Gunderson,1/1/99
10564,Jianhao,Thisen,1/1/99
10623,Aleksander,Danlos,1/1/99
10628,Krisda,Krogh,1/1/99
10631,Inderjeet,Chaudhuri,1/1/99
10642,Hirochika,Narlikar,1/1/99
10653,Otmar,Feinberg,1/1/99
10671,Parviz,Rebaine,1/1/99
10676,Valeri,Danley,1/1/99
10693,Berhard,Daescu,1/1/99
10702,Bader,Szemeredi,1/1/99
10718,Adib,Rullman,1/1/99
10726,Zita,Minakawa,1/1/99
10734,Sachar,Erdi,1/1/99
10745,Poorav,Ranze,1/1/99
10749,King,Brendel,1/1/99
10767,Monique,Doering,1/1/99
10768,Ishfaq,Candan,1/1/99
10778,Selwyn,Merey,1/1/99
10791,Tadahiko,Sgarro,1/1/99
10795,Supot,Naudin,1/1/99
10808,Chenxi,Leijenhorst,1/1/99
10835,Tomoyuki,Kermarrec,1/1/99
10836,Jianhua,Leivant,1/1/99
10844,Dipayan,Koprowski,1/1/99
10847,Theirry,Danley,1/1/99
10848,Fen,Bratsberg,1/1/99
10878,Lakshmi,Deville,1/1/99
10879,Muzhong,Chleq,1/1/99
10883,Shimshon,Champarnaud,1/1/99
10909,Georgi,Atchley,1/1/99
10921,Mara,Bahi,1/1/99
10924,Hironoby,Atchley,1/1/99
10927,Gal,Scallan,1/1/99
10936,Mountaz,Schicker,1/1/99
10943,Berna,Skafidas,1/1/99
10965,Eckart,Braunschweig,1/1/99
10969,Premal,Noriega,1/1/99
10974,Muneo,Papsdorf,1/1/99
10986,Masako,Schiper,1/1/99
10988,Chinya,Deyuan,1/1/99
10989,Sumali,Candan,1/1/99
10990,Shin,Foote,1/1/99
11009,Alper,Axelband,1/1/99
11012,Taegyun,Speckmann,1/1/99
11019,Leon,Huttel,1/1/99
11021,Srinidhi,Henders,1/1/99
11027,Remzi,Cappello,1/1/99
11031,Ottavia,Walstra,1/1/99
11037,Lansing,Maliniak,1/1/99
11038,Jinya,Beidas,1/1/99
11042,Gou,Breugel,1/1/99
11048,Jaques,Demke,1/1/99
11050,Elvis,Katiyar,1/1/99
11051,Przemyslawa,Erol,1/1/99
11070,Adib,Raney,1/1/99
11081,Barry,Boyle,1/1/99
11085,Hailing,Thummel,1/1/99
11100,Berna,Cochrane,1/1/99
11106,Aris,Iwayama,1/1/99
11112,Boaz,Mukaidono,1/1/99
11113,Shahab,Peng,1/1/99
11121,Vugranam,Kakkad,1/1/99
11133,Nalini,Azulay,1/1/99
11134,Sachar,Rajcani,1/1/99
11137,Hugh,Luca,1/1/99
11139,Bogdan,Homond,1/1/99
11146,Ishfaq,Masand,1/1/99
11148,Zhanqiu,Botman,1/1/99
11162,Kauko,Narlikar,1/1/99
11180,Mitsuyuki,Bojadziev,1/1/99
11197,Tadahiro,Fordan,1/1/99
11204,Diederik,Covnot,1/1/99
11207,Saeed,Gips,1/1/99
11208,Saniya,Valtorta,1/1/99
11211,Yurij,Rissland,1/1/99
11217,Kellie,Mawatari,1/1/99
11232,Hidefumi,Crelier,1/1/99
11240,Kiam,Condotta,1/1/99
11249,Randi,Cyre,1/1/99
11251,Bezalel,Chinal,1/1/99
11268,Aimee,Petersohn,1/1/99
11275,Hitomi,Eppinger,1/1/99
11290,Visit,Dredge,1/1/99
11295,Abdelkader,Lanzelotte,1/1/99
11319,Pranas,Marrakchi,1/1/99
11320,Atilio,McAlpine,1/1/99
11322,Nathalie,Pocchiola,1/1/99
11324,Kauko,Billingsley,1/1/99
11338,Kwangsub,Hanratty,1/1/99
11339,Flemming,Massonet,1/1/99
11347,Anneli,Jonsson,1/1/99
11365,Toshimi,Shinomoto,1/1/99
11376,Valery,Suomi,1/1/99
11380,Kenroku,Pelc,1/1/99
11385,Shiv,Ullian,1/1/99
11386,Alselm,Assaf,1/1/99
11393,Junsik,Junot,1/1/99
11398,Oscar,Peir,1/1/99
11404,Bedrich,Borovoy,1/1/99
11415,Sanjiv,Anido,1/1/99
11421,Josyula,Msuda,1/1/99
11441,Marlo,Aingworth,1/1/99
11449,Kotesh,Asser,1/1/99
11459,Duke,Suomi,1/1/99
11469,Guttorm,Giaccio,1/1/99
11506,Rance,Picel,1/1/99
11509,Aleksander,Feldhoffer,1/1/99
11513,Otmar,Mahnke,1/1/99
11515,Ulf,Basawa,1/1/99
11518,Jinxi,Oxman,1/1/99
11524,Xiadong,Standera,1/1/99
11527,Alagu,Boyle,1/1/99
11528,Zito,Dolinsky,1/1/99
11537,DAIDA,Pehl,1/1/99
11554,Subhash,Taubenfeld,1/1/99
11555,Kotesh,Perfilyeva,1/1/99
11567,Teiji,Mitzlaff,1/1/99
11568,Martins,Fujisaki,1/1/99
11603,Herb,Swen,1/1/99
11607,Tomokazu,Foong,1/1/99
11615,Shem,Isaak,1/1/99
11624,Adil,Gammage,1/1/99
11628,Fan,Malinowski,1/1/99
11640,Valeri,Coorg,1/1/99
11647,Magy,Nitsche,1/1/99
11660,Gill,Stenning,1/1/99
11673,Henk,Felder,1/1/99
11676,Valeri,Ferriere,1/1/99
11681,Fumitake,Benzmuller,1/1/99
11684,Oksana,Gide,1/1/99
11696,Dante,Rothe,1/1/99
11732,Sanjoy,Ranft,1/1/99
11735,Amalendu,Picci,1/1/99
11746,Koichi,Marrakchi,1/1/99
11751,Jiafu,Emiris,1/1/99
11764,Sanjay,Anick,1/1/99
11769,Chandrasekaran,Lampe,1/1/99
11772,Gaurav,Penz,1/1/99
11797,Chenxi,Thambidurai,1/1/99
11810,Amabile,Bhattacharjee,1/1/99
11817,Niranjan,Markovitch,1/1/99
11832,Arto,Zlotek,1/1/99
11844,Shawna,Demeyer,1/1/99
11853,Zeljko,Kusakabe,1/1/99
11857,Divier,Farrag,1/1/99
11864,Pradeep,Kriebel,1/1/99
11871,Nalini,Sommen,1/1/99
11872,Cheong,Riexinger,1/1/99
11894,Mitchel,Validov,1/1/99
11897,Cordelia,Setlzner,1/1/99
11906,Hideo,Boguraev,1/1/99
11915,Miomir,Mawatari,1/1/99
11931,Gunilla,Chiodo,1/1/99
11933,Basil,Erman,1/1/99
11949,Martijn,Harbusch,1/1/99
11983,Jaana,Hedayat,1/1/99
11993,Marit,Dalphin,1/1/99
12011,Zhilian,Coorg,1/1/99
12036,Mads,Ratzlaff,1/1/99
12037,Arunas,Katzenelson,1/1/99
12050,Yuchang,Tchuente,1/1/99
12062,Margareta,Worfolk,1/1/99
12069,Ayonca,Burnard,1/1/99
12070,Ger,Shokrollahi,1/1/99
12076,Karlis,Siprelle,1/1/99
12082,Xinan,Yamaashi,1/1/99
12089,Bilhanan,Socorro,1/1/99
12099,Nobuyoshi,Kuzuoka,1/1/99
12112,Satyanarayana,Avouris,1/1/99
12122,Satoru,Krone,1/1/99
12123,Xiahua,Syrzycki,1/1/99
